date,base_u_rate,1m_u_rate_pct_change,1yr_u_rate_pct_diff
1948-01-01,3.4,,
1948-02-01,3.8,11.764705882352944,
1948-03-01,4.0,5.263157894736836,
1948-04-01,3.9,-2.500000000000002,
1948-05-01,3.5,-10.256410256410254,
1948-06-01,3.6,2.857142857142869,
1948-07-01,3.6,0.0,
1948-08-01,3.9,8.333333333333325,
1948-09-01,3.8,-2.564102564102566,
1948-10-01,3.7,-2.631578947368407,
1948-11-01,3.8,2.7027027027026973,
1948-12-01,4.0,5.263157894736836,
1949-01-01,4.3,7.499999999999996,26.470588235294112
1949-02-01,4.7,9.302325581395365,23.684210526315795
1949-03-01,5.0,6.382978723404253,25.0
1949-04-01,5.3,6.000000000000005,35.897435897435905
1949-05-01,6.1,15.094339622641506,74.28571428571426
1949-06-01,6.2,1.6393442622950838,72.22222222222223
1949-07-01,6.7,8.064516129032251,86.11111111111111
1949-08-01,6.8,1.4925373134328401,74.35897435897436
1949-09-01,6.6,-2.941176470588236,73.6842105263158
1949-10-01,7.9,19.696969696969703,113.51351351351352
1949-11-01,6.4,-18.9873417721519,68.42105263157896
1949-12-01,6.6,3.124999999999978,64.99999999999999
1950-01-01,6.5,-1.5151515151515138,51.162790697674424
1950-02-01,6.4,-1.538461538461533,36.170212765957444
1950-03-01,6.3,-1.562500000000011,26.0
1950-04-01,5.8,-7.936507936507942,9.433962264150942
1950-05-01,5.5,-5.1724137931034475,-9.836065573770492
1950-06-01,5.4,-1.8181818181818077,-12.903225806451612
1950-07-01,5.0,-7.407407407407418,-25.373134328358216
1950-08-01,4.5,-9.999999999999998,-33.82352941176471
1950-09-01,4.4,-2.2222222222222143,-33.33333333333333
1950-10-01,4.2,-4.545454545454552,-46.83544303797469
1950-11-01,4.2,0.0,-34.375
1950-12-01,4.3,2.3809523809523725,-34.84848484848485
1951-01-01,3.7,-13.953488372093014,-43.07692307692308
1951-02-01,3.4,-8.108108108108114,-46.875
1951-03-01,3.4,0.0,-46.03174603174603
1951-04-01,3.1,-8.823529411764696,-46.551724137931025
1951-05-01,3.0,-3.2258064516129115,-45.45454545454546
1951-06-01,3.2,6.666666666666665,-40.74074074074075
1951-07-01,3.1,-3.125,-38.0
1951-08-01,3.1,0.0,-31.11111111111111
1951-09-01,3.3,6.451612903225801,-25.00000000000001
1951-10-01,3.5,6.060606060606055,-16.666666666666675
1951-11-01,3.5,0.0,-16.666666666666675
1951-12-01,3.1,-11.428571428571422,-27.90697674418604
1952-01-01,3.2,3.2258064516129004,-13.513513513513509
1952-02-01,3.1,-3.125,-8.823529411764696
1952-03-01,2.9,-6.451612903225811,-14.70588235294118
1952-04-01,2.9,0.0,-6.451612903225811
1952-05-01,3.0,3.4482758620689724,0.0
1952-06-01,3.0,0.0,-6.25
1952-07-01,3.2,6.666666666666665,3.2258064516129004
1952-08-01,3.4,6.25,9.677419354838701
1952-09-01,3.1,-8.823529411764696,-6.060606060606055
1952-10-01,3.0,-3.2258064516129115,-14.28571428571429
1952-11-01,2.8,-6.666666666666677,-20.000000000000007
1952-12-01,2.7,-3.5714285714285587,-12.903225806451612
1953-01-01,2.9,7.407407407407396,-9.37500000000001
1953-02-01,2.6,-10.344827586206895,-16.129032258064512
1953-03-01,2.6,0.0,-10.344827586206895
1953-04-01,2.7,3.8461538461538547,-6.896551724137923
1953-05-01,2.5,-7.407407407407418,-16.666666666666664
1953-06-01,2.5,0.0,-16.666666666666664
1953-07-01,2.6,4.0000000000000036,-18.75
1953-08-01,2.7,3.8461538461538547,-20.58823529411764
1953-09-01,2.9,7.407407407407396,-6.451612903225811
